,ratio,rmse
741,0.05236717742291707,94962376.0159146
918,0.2842576538937246,94962376.0159146
688,1.3207227024934463,94962376.0159146
239,0.19334874528701035,94962376.0159146
733,0.3121393313550824,94962376.0159146
726,0.19595806737571328,94962376.0159146
327,0.7841445052102854,94962376.0159146
457,0.19525382723096127,94962376.0159146
1112,2.697108709597214,94962376.0159146
936,0.45943410629258014,94962376.0159146
1204,1.0057774989522763,94962376.0159146
116,1.7784706694893038,94962376.0159146
695,1.4054749280537806,94962376.0159146
995,1.4233399045902855,94962376.0159146
1504,0.29251783553541594,94962376.0159146
1743,0.7258119365616887,94962376.0159146
564,0.6470441212830217,94962376.0159146
1151,1.4129757892091153,94962376.0159146
1002,0.9722459694376112,94962376.0159146
469,0.5035333663281147,94962376.0159146
1334,0.4371583283603026,94962376.0159146
1244,0.22811484209975455,94962376.0159146
1251,1.2519890761307324,94962376.0159146
867,2.1406358139631894,94962376.0159146
629,0.3169844466682223,94962376.0159146
1533,0.42542338800118484,94962376.0159146
1344,0.3760850292348581,94962376.0159146
222,0.7925983862284584,94962376.0159146
535,2.9732529640527656,94962376.0159146
678,0.5965200034495497,94962376.0159146
780,1.2578229523479367,94962376.0159146
1680,3.643727027655615,94962376.0159146
910,0.757728551466991,94962376.0159146
1163,0.6141730188087613,94962376.0159146
230,1.9475716006292159,94962376.0159146
495,0.4322933758364864,94962376.0159146
1659,1.2061521217683995,94962376.0159146
241,1.2297211043564042,94962376.0159146
177,2.1406278881192664,94962376.0159146
161,0.7038641598673482,94962376.0159146
1104,1.0087757935914743,94962376.0159146
1483,2.4185424363728827,94962376.0159146
286,0.7722409669319076,94962376.0159146
1494,0.9454318073573862,94962376.0159146
991,4.256556620414485,94962376.0159146
344,1.2143325797727185,94962376.0159146
1094,4.154872757332073,94962376.0159146
202,1.5229996730285267,94962376.0159146
1485,0.822944936495297,94962376.0159146
1257,0.742004300280487,94962376.0159146
1451,2.587937154031838,94962376.0159146
643,2.8117426337477767,94962376.0159146
1175,0.04496688758140807,94962376.0159146
1226,4.4887053717380505,94962376.0159146
930,0.06923174244781123,94962376.0159146
707,2.6938481786090063,94962376.0159146
547,1.0133252532737673,94962376.0159146
585,0.28606723223633174,94962376.0159146
1069,4.506380614207194,94962376.0159146
74,1.0795919447082543,94962376.0159146
943,2.6803676447310356,94962376.0159146
1193,1.004512711010156,94962376.0159146
1414,0.15885367906011327,94962376.0159146
290,0.39645399687320737,94962376.0159146
1399,9.407326151885535,94962376.0159146
410,1.4204943991313435,94962376.0159146
1404,4.754308986664243,94962376.0159146
1387,2.6228024028642882,94962376.0159146
541,0.5707044497327707,94962376.0159146
189,2.114948534904782,94962376.0159146
1013,0.5095001482670088,94962376.0159146
1678,0.10640914846974127,94962376.0159146
114,1.1560135800118878,94962376.0159146
1039,0.14368215966310066,94962376.0159146
1260,1.0300923672324602,94962376.0159146
151,2.4476090188749318,94962376.0159146
101,0.6933741223035418,94962376.0159146
899,0.6119988458618676,94962376.0159146
806,0.1157979010306472,94962376.0159146
889,1.6117459427210226,94962376.0159146
49,0.9699720374100174,94962376.0159146
1577,3.106369918157258,94962376.0159146
1738,0.35639937872183947,94962376.0159146
1040,0.6206823824978245,94962376.0159146
711,1.7663370085260182,94962376.0159146
782,1.075583930293097,94962376.0159146
1127,1.1386836420680602,94962376.0159146
1089,1.1601012977654235,94962376.0159146
716,0.1542760940035076,94962376.0159146
925,0.21609551065820104,94962376.0159146
1688,2.0580900480587356,94962376.0159146
1014,0.4155911063179294,94962376.0159146
398,0.9972668881061086,94962376.0159146
901,0.6429515678348378,94962376.0159146
1692,1.0336841546119977,94962376.0159146
577,0.1705442282716021,94962376.0159146
743,0.9061852754663422,94962376.0159146
1374,0.4527855002259727,94962376.0159146
127,1.2961886247968222,94962376.0159146
1138,0.8551375371554385,94962376.0159146
1723,0.6445453127600439,94962376.0159146
1333,0.7557367566274962,94962376.0159146
1168,0.5698996953544083,94962376.0159146
1475,1.4057853973742152,94962376.0159146
172,0.4099279301574745,94962376.0159146
1191,1.4929988212285483,94962376.0159146
173,0.3407460688031427,94962376.0159146
494,1.3513203976784622,94962376.0159146
411,0.48254581077239145,94962376.0159146
1037,0.31145892300290995,94962376.0159146
646,0.7940107344149456,94962376.0159146
1116,2.034840795851685,94962376.0159146
1712,3.1116481210055773,94962376.0159146
844,1.5054050478326264,94962376.0159146
1379,0.46415847451942616,94962376.0159146
647,0.8367279281214134,94962376.0159146
412,0.590395104378828,94962376.0159146
1470,1.5343090539552278,94962376.0159146
1202,2.3443454853783225,94962376.0159146
1610,0.4274349300215172,94962376.0159146
1121,0.6653566035218783,94962376.0159146
228,0.7428317121857215,94962376.0159146
549,1.088670970433602,94962376.0159146
207,1.5806611984244718,94962376.0159146
167,1.9462350289662302,94962376.0159146
1418,1.39766828039316,94962376.0159146
1132,0.9336069049316404,94962376.0159146
1535,0.6382027824914057,94962376.0159146
489,1.3676440738024467,94962376.0159146
1057,2.7078206471880923,94962376.0159146
605,2.659734507580974,94962376.0159146
569,0.12222037905045154,94962376.0159146
47,1.8620532016537226,94962376.0159146
1336,1.5829201451790013e-07,94962376.0159146
517,0.7296752091111731,94962376.0159146
700,1.21142878980013,94962376.0159146
1660,3.1425019841269135,94962376.0159146
746,2.8931431269074666,94962376.0159146
1269,1.055067610111769,94962376.0159146
854,1.0919485000112634,94962376.0159146
926,0.32052767808833177,94962376.0159146
1371,0.41532379800845126,94962376.0159146
1481,1.517125822227352,94962376.0159146
979,4.39272217976141,94962376.0159146
375,0.5249257954647728,94962376.0159146
1214,1.0533410079223469,94962376.0159146
1609,0.17425669292302037,94962376.0159146
824,2.167697070434335,94962376.0159146
1642,1.4587368467263135,94962376.0159146
1216,0.6472348901117773,94962376.0159146
1062,15.84281826417119,94962376.0159146
426,0.5851892417278177,94962376.0159146
358,1.2552242493313073,94962376.0159146
1520,0.2552333669018979,94962376.0159146
540,0.5732597965102836,94962376.0159146
237,0.050419843453411016,94962376.0159146
945,1.0963855985404214,94962376.0159146
155,0.38048193753778553,94962376.0159146
260,0.08397965840927353,94962376.0159146
886,0.2288318112797545,94962376.0159146
107,0.17992298915947783,94962376.0159146
181,1.5652791673589799,94962376.0159146
798,0.2863836446693056,94962376.0159146
133,0.413720565957936,94962376.0159146
857,1.8379288870413277,94962376.0159146
1176,0.7492254740145285,94962376.0159146
565,0.3085718283477529,94962376.0159146
1411,1.5591490121451135,94962376.0159146
607,1.7389672317906093,94962376.0159146
942,3.2339216302945286,94962376.0159146
1546,0.7591820213866463,94962376.0159146
1590,0.6097256003288265,94962376.0159146
631,1.6682105905177578,94962376.0159146
1120,1.2006251086476898,94962376.0159146
397,1.1415217507137865,94962376.0159146
1403,4.058295697976545,94962376.0159146
1020,0.8369327505957368,94962376.0159146
550,0.4340043211967065,94962376.0159146
1645,1.3223961761116918,94962376.0159146
621,0.8396550465056084,94962376.0159146
567,0.3128405245043049,94962376.0159146
592,1.3495148025308208,94962376.0159146
163,1.288759633816382,94962376.0159146
582,1.5310969835586583,94962376.0159146
846,4.67005595479218,94962376.0159146
216,0.5124347677018078,94962376.0159146
1050,0.03751501945405313,94962376.0159146
832,1.3974054898947412,94962376.0159146
763,2.284576944670561,94962376.0159146
416,0.5562770419049528,94962376.0159146
385,0.9052472760929121,94962376.0159146
1043,0.07088700902332469,94962376.0159146
545,0.5518525768597065,94962376.0159146
597,1.6127162934255057,94962376.0159146
608,1.795871986766119,94962376.0159146
1211,1.4275647386108794,94962376.0159146
784,0.8866599320391835,94962376.0159146
630,0.35625407150995597,94962376.0159146
821,2.9596200605867127,94962376.0159146
472,1.0078164789528656,94962376.0159146
243,0.7169062549470201,94962376.0159146
1011,0.8394259245327627,94962376.0159146
894,1.60204919433796,94962376.0159146
662,0.7558175237570444,94962376.0159146
1337,0.8348229721383431,94962376.0159146
522,0.8174432871635412,94962376.0159146
0,0.8859100292608713,
1,1.0360879859842567,
2,1.0534583522652514,
3,1.101947257367407,
4,1.1064163855634304,
5,1.1320681522634164,
6,1.1538390811126042,
7,1.1727928813512531,
8,1.189221257940588,
9,1.2061060385902072,
10,1.2259692403851725,
11,1.2180038442060883,
12,1.2293734856959524,
13,1.2448340293063824,
14,1.259526737138996,
15,1.2721111570899715,
16,1.2814633891017992,
17,1.2781777696655583,
18,1.2761312019357636,
19,1.278225757704758,
